text,commenter_channel_display_name,comment_publish_date,video_id,platform,label
@Russellway better than let’s go Brandon.,No Fear86,1688701004.0,JGw_BzwtqtM,Youtube,0
What did you put on the outside of the gun??,Tshrop,1678114948.0,qt2Bpryqnv0,Youtube,0
be brave,Sophie Bazzi,1674148728.0,Tyq492QJOkw,Youtube,0
Thank you for calling me out,Edra Hodge,1663873763.0,MXAUwEVIL7E,Youtube,0
??? What does this even mean,chronic shitposter,1684056339.0,8_RK7jQrQbc,Youtube,0
Happy birthday dear Julian,Sheryl middle initial L,1689888265.0,l2KuxKGImMw,Youtube,0
"The joy on his face so beautiful 
Happy Blessed Birthday🎉🎉😊",UIV Concepts,1689716403.0,l2KuxKGImMw,Youtube,0
"Changes in mood in bipolar and similar disorders are very often triggered by stressful events and certain patterns of behavior. The treatment/prevention plans for these disorders revolve around reducing that risk as much as possible by building up a support network and practicing stress coping strategies in conjuction with diet, sleep, exercise, and meds. Sometimes depressive and and manic episodes can feel like they're out of the blue, but this is a pretty broad oversimplification. I know this is just a tiktok but if it's going to try to be educational it should be a little more accurate.",Ray H.,1661415893.0,jUF1K9rsh9o,Youtube,0
"Jesus can heal your daughter madam, find Jesus",Eskil Houndjo,1666016443.0,-gCSzvsCWCU,Youtube,0
I showed this to my class to prove i am not a weird autistic person i am normal autistic person,Soyeon and Josie roblox edits and more,1681177144.0,fz6dbtnwEi0,Youtube,0
"WAIT I HAVE OCD I NEED TO TELL MY MUM RN  




im not a kid im 14 and i still live with my mum",vent_with_me,1679616230.0,GqgRCPs1bdo,Youtube,0
"Say Dr. Grande, what’s the difference between schizophrenia prodrome and schizotypal personality disorder?

I was diagnosed with schizophrenia, but I never hit the acute phase in my life. I still have this chronic feeling of paranoia and haunting feeling as though spirits are flooding my mind and space.",@alphaalbeno1073,1669333654.0,TJ4vIghzCic,Youtube,0
I think that I may have both😬,@janycebrown4071,1670617137.0,TJ4vIghzCic,Youtube,0
so so prettyyyy,slaygirltips,1689983474.0,a54ae-6r2wo,Youtube,0
I hope it gets better for you and that you deserve to be here please don’t commit..,Night Rain_Venting,1673967138.0,QnCVCHKayOw,Youtube,0
😍😍😍😍😍,Demetrius Smith,1665292728.0,-gCSzvsCWCU,Youtube,0
Y did you need to be heard.... Just do your thing and leave the rest of us out of it,Chucky,1682789356.0,BcKuX6TV1To,Youtube,0
"That's not autism,  it's called retardation.",C M,1695260462.0,l2KuxKGImMw,Youtube,0
I need to do everything equal even eating if I don’t do what my brains says someone dies and I want to get another one to do it but I try not to think abt it n I think that works,Maeganne ,1673438115.0,GqgRCPs1bdo,Youtube,0
Bestie no… a single symptom doesn’t define a disorder and symptoms if some disorders are simply personalith traits or behaviors that could be completly separate,Proxy Doi,1690169181.0,QZYfVcw9gmU,Youtube,0
Someone told me I walk like a dinosaur today 🦖 😂,Unknown 7,1698132203.0,4e9-6N3ffFA,Youtube,0
I've lived in my house for about 4 years and almost every day I still run into the corner of the wall when turning down my hall way or whacking my arm on the corner of the kitchen bench as I turn into the kitchen. I'm always covered in bruises from it.,Tegan Archer,1691762856.0,4e9-6N3ffFA,Youtube,0
"Another reason to add to my ""reasons I should get checked for adhd"" list",username,1674806395.0,6RaXv-m8K9U,Youtube,0
Or your someone like me who doesn't even get out of bed unless one of my family members needs something,edwina coffman,1696210290.0,iiHAnwJo69g,Youtube,0
ADHD mean anyone can explain,Player tamizha2.0,1673558101.0,erbXyUpLVus,Youtube,0
"All health food stores carry them. Swanson's vitamins. Excellent prices high quality products.. that carry different brands such as NOW, Dr. Mercola, Dr Axe and their own products as well.",Nancy Heier,1680975873.0,oTlu3mjKnUM,Youtube,0
"Oh, I Gusse I have this 👍 good to know",Jax.     Crazy_Aunt_Max,1658727823.0,2n-GS8LUddU,Youtube,0
"WRONG BEN!  LOOK IT UP BEN. Gender Dysphoria is not a mental illness. You're arguing from a False Primus & all these morons in the audience start clapping???
You are not a Trained Psychiatrist.  You're opinion is Transphobic & how dare you try to mislead everyone & compare Transgenger to schizophrenia.  SHAME ON YOU! SHAME!",Michael Shields,1673513972.0,ih_t7x9LYLE,Youtube,0
"No thats just a d*mn stereotype that people have used to ignore and stay indifferent to ones mental needs. 

Everyone copes differently.",Lia Yang,1667434941.0,BcKuX6TV1To,Youtube,0
Your still don't such a great job tho 💕💕💕 keep working o on your Halloween jar,Krystal Anderson,1676461696.0,Tyq492QJOkw,Youtube,0
"Y’all should listen/ watch the full podcast   He goes more in depth. Also, it’s very eye opening with how medical professionals, really, had no right performing gender reassignment surgeries on Chloe at such a young age.",OMG1877,1673025620.0,NYVsd7vtdR8,Youtube,0
"Okay let’s get one thing straight Asian fishing is not through wearing makeup and clothes, if that was the case heck then I must be Asian fishing, it’s actively trying to look Asian by creating thinner narrow eyes, not wearing clothes that’s just stupid,we can’t gate keep clothes ffs,",Osamu Dazai,1690520780.0,HPc0nOxEmF0,Youtube,0
Amen! Thank you Lord!,Amy Rader,1687374415.0,v7BYFVUOlTM,Youtube,0
"And once they cut off their organs, there is no going back.",devona edwards,1671692295.0,ih_t7x9LYLE,Youtube,0
Happens in prisons to it's wild,Yoooo,1680368348.0,V4itEOdoa94,Youtube,0
I think I have ocd😳,Elle Shaughnessy,1676863558.0,GqgRCPs1bdo,Youtube,0
"can i just say.....


I do all of them things.....",•𝐴𝑙𝑒𝑥•,1669843938.0,_MS_j7Ecc6k,Youtube,0
i only have it a little bit and thank god it got better but i feel sorry for the people suffering very much under ocd,lilifee,1690376350.0,GqgRCPs1bdo,Youtube,0
⬆️⬆️,𝗧𝗘𝗫𝗧 𝗠𝗲+①⑥⑥⑦②⑥②④⑦⓪⓪,1664796050.0,6tTr9dn9bQc,Youtube,0
"@Farry Tale Folks need to know that stuff. When I grew up, and was able to do what I wanted, I never cut my hair again. I'm 53 now, and will go to my grave with long hair. (Even though it's starting to thin.) Lol I just felt someone needed to hear that. ❤😊❤",Margie Cook,1671223546.0,-gCSzvsCWCU,Youtube,0
